athlete_id,Player,Team,Conference,Power 5,Position,Final Season,Class,Final Year out of HS,Final Year Played,Height,Weight,Stars,Games Played,Standard Points,Half PPR Points,PPR Points,Rush MS,Rush Yds MS,Rush TD MS,Reception MS,Rec Yds MS,Rec TD MS,Dominator Rating,Backfield Dominator Rating,Backfield Dominator Rating Rush,Backfield Dominator Rating Rec,Yards Per Team Play,Adjusted Yds Per Team Play,Rec Yds Per Team Pass Att,YPC Over Team,Yards Per Touch,Yards Created,EPA Per Team Play,EPA Per Play,Total EPA,Expected Rush Yards,Cumulative Rush Yards Over Expected,Expected Rush Yards Per Attempt,Rush Yards Over Expected Per Attempt,Stuffed Rushes,Stuffed Rush Rate,Explosive Rushes,Explosive Rush Rate,Breakaway Rushes,Breakaway Rush Rate,Red Zone Rushes,Red Zone Rush Rate,Green Zone Rushes,Green Zone Rush Rate,Pass Att,Pass Comp,Pass Yds,Pass TDs,Pass Int,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,KR,KR Yds,KR TDs,PR,PR Yds,PR TDs,Standard Points per Game,Half PPR Points per Game,PPR Points per Game,Rush MS (Games Played),Rush Yds MS (Games Played),Rush TD MS (Games Played),Rec MS (Games Played),Rec Yds MS (Games Played),Rec TD MS (Games Played),Dominator Rating (Games Played),Yards per Team Play (Games Played),Adjusted Yards per Team Play (Games Played),Rec Yds Per Team Pass Att (Games Played),EPA per Team Play (Games Played),Pass Att per Game,Pass Comp per Game,Pass Yds per Game,Pass TDs per Game,Pass Int per Game,Rush Att per Game,Rush Yds per Game,Rush TDs per Game,Rec per Game,Rec Yds per Game,Rec TDs per Game,KR per Game,KR Yds per Game,KR TDs per Game,PR per Game,PR Yds per Game,PR TDs per Game,NFL Height,NFL Weight,NFL Forty,NFL Bench,NFL Vertical,NFL Broad Jump,NFL Cone,NFL Shuttle,Draft Round,Draft Pick,Draft Pick Overall,Top 5 Finishes,Top 12 Finishes,Top 24 Finishes,Avg PPR PPG Seasons 1-3,Top.X.Finishes.Y.N,player_select,headshot_url,logo
546233,Kapri Bibbs,Colorado State,Mountain West,N,RB,2013,2014,3,1,71,NA,3,1,366,370,374,0.49,0.61,0.84,0.03,0.02,0,0.37,0.44,0.78,0.1,1.71,1.77,0.12,1.5,6.23,3.12,0.04,0.16,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,281,1741,31,8,59,0,0,0,0,0,0,0,366,370,374,Inf,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,0,0,0,0,0,281,1741,31,8,59,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.6,NA,Kapri Bibbs | Colorado State,https://a.espncdn.com/i/headshots/college-football/players/full/546233.png,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png
4242335,Jonathan Taylor,Wisconsin,Big Ten,Y,RB,2019,2020,3,3,71,219,3,1,311.27,318.27,325.27,0.5,0.6,0.51,0.06,0.05,0.09,0.31,0.57,0.71,0.38,2.3,2.44,0.4,1.48,6.82,3.3,0.07,0.2,64.33,5432.95,500.05,6.13,0.56,106,0.12,62,0.07,89,0.1,127,0.14,35,0.04,0,0,0,0,0,299,1997,16.33,14,135.67,1.67,0,0,0,0,0,0,311.27,318.27,325.27,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,299,1997,16.33,14,135.67,1.67,0,0,0,0,0,0,70,226,4.39,17,36,123,7.01,4.24,2,9,41,1,3,4,15.2,1,Jonathan Taylor | Wisconsin,https://a.espncdn.com/i/headshots/college-football/players/full/4242335.png,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png
4890973,Ashton Jeanty,Boise State,Mountain West,N,RB,2024,2025,3,3,69,215,3,1,294,307.33,320.67,0.45,0.51,0.45,0.12,0.1,0.1,0.29,0.58,0.61,0.55,1.99,2.29,0.75,0.67,6.64,2.8,0.08,0.28,80.33,4352.71,246.29,6.17,0.35,101,0.14,53,0.08,67,0.09,143,0.2,44,0.06,0,0,0,0,0,250.67,1592.67,16.67,26.67,287.33,2,0.67,11,0,0,0,0,294,307.33,320.67,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,250.67,1592.67,16.67,26.67,287.33,2,0.67,11,0,0,0,0,69,211,NA,NA,NA,NA,NA,NA,1,6,6,0,0,0,0,NA,Ashton Jeanty | Boise State,https://a.espncdn.com/i/headshots/college-football/players/full/4890973.png,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png
379208,Jacquizz Rodgers,Oregon State,Pac-10,N,RB,2010,2011,3,3,67,NA,NA,1,269.43,294.6,319.77,0.61,0.74,0.7,0.18,0.11,0.08,0.41,0.94,0.91,0.96,1.89,2.3,0.8,0.72,5.23,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.67,8.33,0.67,0,262.67,1292.33,15.33,50.33,352,1.67,0,0,0,0,0,0,332.8,371.8,410.8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,1,1,14,1,0,273,1440,21,78,522,1,0,0,0,0,0,0,66,196,4.59,NA,33,113,7.31,4.26,5,14,145,0,0,0,4.7,0,Jacquizz Rodgers | Oregon State,https://a.espncdn.com/i/headshots/college-football/players/full/379208.png,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png
547571,Donnel Pumphrey,San Diego State,Mountain West,N,RB,2016,2017,4,4,69,NA,3,1,287.3,299.8,312.3,0.45,0.52,0.52,0.15,0.12,0.07,0.31,0.56,0.55,0.55,2.06,2.35,0.88,0.38,6.48,3.09,0.07,0.2,63,5516.12,-243.12,6.3,-0.28,137,0.16,60,0.07,83,0.09,156,0.18,46,0.05,1.25,0.25,4,0.25,0,264.75,1601.25,15.5,25,260.25,1.25,1.25,17.25,0,0,0,0,287.3,299.8,312.3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.25,0.25,4,0.25,0,264.75,1601.25,15.5,25,260.25,1.25,1.25,17.25,0,0,0,0,68,176,4.48,5,33.5,117,NA,NA,4,26,132,0,0,0,0,NA,Donnel Pumphrey | San Diego State,https://a.espncdn.com/i/headshots/college-football/players/full/547571.png,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png
4040761,Devin Singletary,Florida Atlantic,Conference USA,N,RB,2018,2019,3,3,69,200,3,1,288.4,296.9,305.4,0.41,0.47,0.54,0.08,0.05,0.02,0.27,0.47,0.61,0.33,1.65,1.8,0.37,0.32,6.15,3.03,0.07,0.28,72.33,3829.57,105.43,5.82,0.16,110,0.17,55,0.08,72,0.11,156,0.24,49,0.07,0.67,0.67,5,0,0,238,1429.67,22,17,132.33,0.33,4.33,94.67,0,0,0,0,404.3,413.8,423.3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1,1,12,0,0,301,1920,32,19,198,1,0,0,0,0,0,0,68,203,4.66,15,35,117,7.32,4.4,3,10,74,0,0,0,8.3,0,Devin Singletary | Florida Atlantic,https://a.espncdn.com/i/headshots/college-football/players/full/4040761.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
3929630,Saquon Barkley,Penn State,Big Ten,Y,RB,2017,2018,3,3,71,230,4,1,270.4,287.4,304.4,0.47,0.6,0.5,0.13,0.11,0.09,0.33,0.76,0.76,0.76,1.87,2.32,0.94,0.54,6.49,3.19,0.06,0.19,54,3518.37,215.63,5.31,0.33,153,0.23,60,0.09,64,0.1,123,0.19,39,0.06,0.67,0.67,12,0.33,0,223.67,1281,14.33,34,398.33,2.67,6,166.67,0.67,0,0,0,270.4,287.4,304.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.67,0.67,12,0.33,0,223.67,1281,14.33,34,398.33,2.67,6,166.67,0.67,0,0,0,72,233,4.4,29,41,NA,NA,4.24,1,2,2,3,5,5,15.8,1,Saquon Barkley | Penn State,https://a.espncdn.com/i/headshots/college-football/players/full/3929630.png,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png
3116593,Dalvin Cook,Florida State,ACC,Y,RB,2016,2017,3,3,71,NA,5,1,273.3,286.47,299.63,0.49,0.66,0.53,0.1,0.09,0.03,0.32,0.67,0.67,0.68,1.98,2.32,0.71,1.33,6.99,3.6,0.07,0.23,60.33,4071.3,284.7,6.13,0.43,141,0.21,65,0.1,79,0.12,112,0.17,23,0.03,0,0,0,0,0,229,1488,15.33,26.33,311.67,0.67,0,0,0,0,0,0,273.3,286.47,299.63,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,229,1488,15.33,26.33,311.67,0.67,0,0,0,0,0,0,70,210,4.49,22,30.5,116,7.27,4.53,2,9,41,2,3,5,14.3,1,Dalvin Cook | Florida State,https://a.espncdn.com/i/headshots/college-football/players/full/3116593.png,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
4696981,Cameron Skattebo,Arizona State,Big 12,Y,RB,2024,2025,6,3,70,225,NA,1,261.97,278.47,294.97,0.47,0.6,0.61,0.15,0.15,0.12,0.37,0.71,0.7,0.72,1.87,2.35,1.11,0.7,6.83,2.08,0.11,0.39,93.33,1401.56,206.44,5.39,0.79,30,0.12,18,0.07,22,0.08,52,0.2,20,0.08,6,2.67,63.67,1,0.33,214.33,1284.67,12.33,33,416,2.33,1.67,35,0,1,8.33,0,379.7,402.2,424.7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2,1,42,1,0,293,1715,21,45,605,3,0,0,0,0,0,0,70,219,NA,NA,NA,NA,NA,NA,4,3,105,0,0,0,0,NA,Cameron Skattebo | Arizona State,https://a.espncdn.com/i/headshots/college-football/players/full/4696981.png,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
514099,Ka'Deem Carey,Arizona,Pac-12,Y,RB,2013,2014,3,3,70,NA,3,1,267.93,280.77,293.6,0.46,0.52,0.53,0.09,0.06,0.05,0.29,0.7,0.7,0.71,1.58,1.81,0.45,0.5,6,2.47,0.04,0.12,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,247.67,1413,16,25.67,226.33,1.33,9,188.33,0,0,0,0,346.5,362,377.5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0,0,0,0,326,1907,21,31,238,1,0.5,8,0,0,0,0,69,207,4.69,19,32.5,115,7.08,4.38,4,17,117,0,0,0,2.7,0,Ka'Deem Carey | Arizona,https://a.espncdn.com/i/headshots/college-football/players/full/514099.png,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
